[-38592.65635189],[-75241.11914435],[-65571.81211369]
[-99882.32832116],[-73989.1831007],[ 78330.75230315]
[ 72893.40522771],[ 47108.73312954],[ 79656.93973776]
[-19661.60904879],[-11237.8006248],[-57019.69652789]
[ 33180.38292208],[ 14415.72134952],[-79127.13537795]
[-93457.15482537],[-25010.81718226],[-46856.59702439]
[ 4460.49633594],[-69876.48148889],[ 12934.89358669]
[ 99913.55620901],[ 2089.54740828],[ 20938.98954101]
[ 13125.00477279],[ 68205.31920373],[-70043.94306443]
[-2894.6345107],[ 69002.16788393],[ 23202.90205631]
[-21937.74680617],[ 53950.71432445],[-76289.59080623]
[-25817.57908052],[-49588.06854219],[-5021.43996135]
[-30115.97017335],[ 75131.88855313],[ 6871.67066975]
[ 33947.99241744],[ 83058.27046327],[-8436.00095091]
[-37146.39848636],[-39689.21384909],[ 61270.58016833]
[ 52982.54905086],[ 28227.99562276],[ 50518.50081044]
[-16932.58384815],[-68804.67945377],[ 35656.06626848]
[ 44064.86255077],[-30437.4330544],[ 19116.57458436]
[ 67001.02518484],[ 87862.95404833],[ 19215.24765248]
[-95917.31571831],[ 93285.49120607],[ 52402.87431762]
[-44321.00114786],[ 67553.03976236],[ 99602.80588223]
[-52172.20594188],[ 83454.85476147],[ 42672.03459535]
[ 83507.58644391],[ 37537.83574652],[-58471.83537152]
[-73312.37657958],[-62724.88428527],[ 3870.49659931]
[ 48153.9394087],[ 36323.0092359],[ 11551.73684167]
[-73872.25512664],[ 95513.41621192],[ 43987.03568212]
[ 37395.16859492],[ 59594.26110854],[ 91772.34184522]
[ 19053.34464592],[ 93694.91280888],[ 99415.42277581]
[-57086.41127688],[ 95368.92208934],[ 48511.39647153]
[ 10071.28043253],[ 98109.95799249],[-13029.10996915]
[ 65653.94582762],[-62959.98023354],[-97444.39344047]
[ 819.97360241],[-24598.74313616],[ 93002.26874234]
[-82512.97028795],[ 99829.61979422],[-81338.14298347]
[-50571.8595385],[-60783.84438539],[ 44303.88596054]
[-21557.26518223],[ 13895.0231687],[-75472.85396108]
[-83554.78338047],[-21804.61427967],[ 69885.73702309]
[ 12166.3535638],[ 36429.16448731],[ 97727.25724902]
[ 28421.94497332],[-80131.32028808],[ 10809.14595954]
[-74756.31989892],[-78862.69855746],[ 50866.32521249]
[ 8565.25500346],[-93504.63839769],[-21668.70245662]
[ 37025.45089603],[ 59156.34398269],[ 11710.44642325]
[-18777.5957422],[-76367.04791622],[-42849.55263028]
[-4680.39860771],[ 5589.91347343],[ 35790.62274587]
[-97589.47054284],[-53508.96564798],[-39786.12838164]
[-53525.70666766],[-15039.76410843],[ 76138.71636249]
[-75118.00083242],[ 43664.73138103],[-70606.04553459]
[ 9455.10503992],[-49911.3889379],[ 47327.71311298]
[-1592.10885367],[-67840.68136699],[-24452.68024099]
[ 71012.70076975],[-30866.29327106],[ 19760.624754]
[ 62892.79967191],[-35635.479497],[ 23130.33117235]
[-33382.67810043],[-89311.96626168],[-70371.69382971]
[ 35751.50285856],[-994.47784421],[ 79304.3456426]
[-63436.53525081],[ 70037.73327993],[-32055.63276404]
[-36161.17071778],[-56305.32462168],[ 27045.50720822]
[ 8932.3045649],[-45651.08600576],[ 81726.72815535]
[ 79426.71101855],[ 51262.38727767],[ 80221.17492881]
[-64581.92413936],[ 93055.8303597],[-33133.28223845]
[ 8151.1314707],[ 23367.59725871],[ 92882.33429978]
[ 66261.31254598],[-75384.38248871],[ 15030.17368202]
[-15856.13304839],[ 64825.91918792],[-33787.70781432]
[ 83015.03756809],[-56270.51748299],[-37080.06463402]
[ 18946.58736555],[-11018.21424191],[ 23587.4034951]
[-52650.21677116],[-97582.33056987],[ 17505.05112395]
[ 58958.20167235],[-70070.98704619],[-65864.13552628]
[ 89061.33457085],[ 96840.6953822],[ 46525.21273418]
[-49453.36425682],[ 63166.2199652],[ 80869.34868555]
[ 85591.01106939],[-42092.28352893],[-8466.51832623]
[ 68482.2637686],[ 72219.76298267],[ 61604.33867128]
[ 37892.80386474],[-20562.51251685],[-67214.4725285]
[ 44353.1718222],[ 69459.19713096],[-19945.97738471]
[ 76182.12944963],[-56445.59299572],[-20721.40148539]
[-32895.67327219],[ 53841.79755046],[-30155.8850285]
[-72269.78680175],[ 91225.24684095],[ 39253.91349895]
[ 15495.15785307],[ 20508.62034156],[ 50269.45210033]
[-42627.16873755],[ 4954.31141116],[ 65504.36030291]
[-47117.12782765],[-49446.83153697],[-2434.17989465]
[-72938.32508264],[-98971.14379218],[-3016.64674526]
[-32557.29061451],[ 4017.64767648],[ 11573.64437506]
[-94411.69273352],[-88876.85157792],[-35571.15968467]
[-63149.32963092],[-15646.42552786],[-18582.73106253]
[ 75059.52427948],[-85733.68868634],[ 9331.38643369]
[-37709.89722428],[ 97522.22670376],[-702.25458155]
[-84992.97117382],[-94892.43137545],[ 94044.34162291]
[ 73624.13173462],[ 93320.82315711],[-2976.32272482]
[ 97561.92715267],[ 67928.98250933],[-42757.12754514]
[ 15147.79383759],[ 60286.7545568],[ 97385.2660217]
[-5953.12134165],[-50643.92389252],[-5206.93850079]
[-30253.37686146],[-74311.11998062],[-67731.35179542]
[ 54691.1545094],[-13701.2227833],[ 8958.48098502]
[-85821.76285104],[-85555.36226601],[-72701.4590077]
[-20310.32878106],[-12918.9508541],[-4226.77135381]
[ 31311.71858273],[-53949.059031],[-61884.84576084]
[-15375.25991198],[ 46078.69868517],[-86272.37126944]
[-64546.35096091],[-99470.87742908],[-49515.50913409]
[ 97808.21692716],[ 84931.10505039],[ 58787.30079207]
[-37709.42226511],[-76988.18941687],[-55391.15085601]
[ 58043.74625331],[ 51868.15518988],[-56732.31821475]
[-39579.89935403],[-23582.39799983],[-43527.8604896]
[ 2340.61029637],[-51710.07382714],[-1889.48256611]
[-59531.8177253],[-2164.56341856],[ 22620.31525903]
[ 94788.7003875],[ 71894.78047895],[-76998.75719015]
[-41899.25428301],[ 24540.70803693],[ 71611.05685641]
[-46328.72298859],[ 90424.79289749],[-29657.40478891]
[-55058.43619587],[-64372.27326029],[-38605.53270814]
[ 55405.96439822],[-38384.98638071],[-34766.52306172]
[ 63441.3849105],[-60878.28529303],[-73067.48273377]
[-39799.81595232],[ 50535.38364171],[ 14998.23901024]
[ 62010.39032873],[-57984.28602594],[-78648.1486094]
[-67057.97679872],[ 60139.60199456],[ 44198.86438748]
[-50638.37885628],[ 41201.97242526],[ 62836.24750879]
[ 22287.45191929],[ 31113.88341333],[ 54935.1035365]
[-32747.65794081],[ 40996.59215011],[-32672.05229806]
[-47990.25439378],[-10434.46285864],[ 2536.63451012]
[ 66407.1461441],[ 64785.84091534],[ 62619.90071324]
[ 94828.2217952],[-22519.31089424],[-65971.47680009]
[-95429.0761395],[-66637.61792067],[ 16268.3248999]
[-88929.96096964],[ 26221.03868262],[-53929.65113998]
[-56814.23166849],[-85652.84979737],[ 9161.03279243]
[-25437.36888906],[ 65164.73769868],[-36572.44950528]
[-4904.55954688],[-17943.28880923],[ 9319.80096956]
[-9526.79548066],[ 55268.12756614],[ 49039.70314455]
[-29187.85195601],[ 84630.06685752],[ 49106.66068383]
[-63239.08236168],[-73926.66694509],[-36414.12743943]
[ 78689.17138711],[ 92436.52661285],[-13860.4843868]
[-29260.37448858],[-60602.18433374],[-51530.39023274]
[-18655.76624471],[ 55007.60006598],[-94889.034678]
[ 36265.57594185],[ 34944.89441335],[ 4397.40678567]
[ 5530.46334798],[-98374.17564437],[-34022.24388444]
[ 5843.5370918],[ 34436.21801349],[-96204.82271204]
[ 18222.88850463],[-28312.24431079],[-24220.02880529]
[-32809.45200613],[-40155.17430512],[-36524.49400491]
[-32351.06663595],[-77520.52141486],[ 94092.76193821]
[ 41972.59292541],[-45048.52570737],[ 47482.42489586]
[ 88339.34902989],[-84480.43461908],[-98135.4678036]
[-92203.07323786],[ 56548.06839065],[ 87987.92244625]
[ 44809.32774012],[-98853.63748053],[ 89363.67022373]
[ 60695.40018378],[-22171.05405844],[-80257.96897838]
[-84435.58388077],[ 91096.2862647],[ 99926.10447428]
[ 2429.78924431],[-62571.0147746],[ 71574.40115423]
[ 30013.91666786],[ 70450.01171667],[-18074.83419814]
[ 56033.14689314],[-29928.83353134],[-11172.74023649]
[-740.40546269],[ 71847.24685909],[ 65766.26463822]
[-15712.40372078],[ 7349.69929218],[-51097.76662561]
[-93912.21128415],[ 21945.65652908],[-93608.28653931]
[-1239.20097752],[-72394.53466178],[-95342.79721229]
[ 71611.20817464],[ 56291.40949885],[ 90675.5855301]
[ 44425.34274973],[ 58286.67764598],[ 40962.42515194]
[ 82995.88700671],[ 23581.4890232],[-30700.72507811]
[-47750.94033543],[-26235.3881286],[-99090.01494406]
[-79851.60716158],[-76404.21131243],[ 19964.91781613]
[-80240.07081907],[-46011.76536641],[ 46727.51317715]
[ 39136.69968378],[-70657.44267673],[ 89526.28277877]
[ 12868.99017153],[-165.97157744],[-96259.72642279]
[-81832.5943793],[ 43506.80182302],[-18983.29661307]
[-13963.9839965],[-67570.03852571],[-20483.97099103]
[-3213.40024309],[-57247.30391431],[-28567.04998242]
[-89895.85228124],[-51143.86598093],[-32095.22172374]
[ 71671.01044662],[-47856.46477206],[-91234.9868322]
[-74008.2414744],[-39371.6783243],[ 41410.4453893]
[ 13497.7094252],[-78506.82217016],[-23643.52806432]
[ 82811.83619995],[-77169.73882607],[-22206.88440568]
[ 33604.72051395],[ 73592.29604737],[ 63676.57027194]
[-48122.77035055],[ 92559.13864529],[ 49240.76872344]
[-58100.12824935],[ 5279.0340587],[-99791.39309004]
[-53896.94458835],[-39881.91040887],[ 35605.81007784]
[ 54793.93851169],[-19630.84184973],[-64158.13372351]
[ 79051.1041352],[-81359.86868069],[-79317.3190333]
[ 61366.46863443],[ 83136.66646387],[ 82136.60084589]
[ 62463.06645716],[-46975.82971034],[-41741.28340083]
[-34968.4027798],[-57236.51854679],[ 8852.30224146]
[-58756.83944435],[ 47637.03069394],[-27472.91932567]
[ 25687.37569149],[ 47099.64723018],[-54422.87477249]
[-57929.135004],[ 94389.87210233],[ 77371.46158687]
[-40734.88354003],[-10269.83339564],[-25470.91625582]
[-51965.32477169],[ 3343.10148318],[-51513.71872953]
[-69634.34536477],[ 60641.19954785],[ 67747.47189625]
[ 56603.51983298],[ 86372.12499852],[ 84373.7816681]
[ 13581.9245096],[ 29226.41690015],[-30021.62410631]
[ 10587.0134168],[ 60261.99778705],[ 48422.43052162]
[-79736.74163609],[ 76296.22611939],[ 21068.73857045]
[ 60559.09838636],[-31266.37747337],[ 84135.52321276]
[-1717.62338584],[ 47722.26790944],[-60346.28380702]
[-20443.47836748],[-51296.45687911],[ 4285.02638435]
[-25918.81133789],[ 80751.41442282],[-84796.56601733]
[ 72324.82156918],[ 17002.63923839],[-15641.24431955]
[-27405.3678579],[ 6365.59024678],[-12751.82956439]
[-71378.66137074],[-38534.51504371],[-93454.12388392]
[-58517.96059815],[ 14022.4228355],[-4080.92841263]
[-3949.40368539],[-48462.52969381],[-52305.82693532]
[-14882.49111666],[-49503.72347468],[ 53497.54142407]
[ 86811.26618914],[ 43703.92318294],[-63525.35036]
[-12056.0939346],[ 94785.89445377],[-28395.74010192]
[ 2649.36719814],[-41012.72840618],[-75179.59558255]
[ 3237.73779785],[-67848.31275774],[-1380.32474898]
[-75700.85015659],[ 96752.58156862],[ 35596.57888408]
[ 1262.07991068],[-9963.07227192],[ 54797.07452487]
[ 69427.47467193],[ 92396.04354152],[-83398.91893533]
[-41578.77643358],[-85414.28012489],[ 53104.81263742]
[ 72502.67362586],[-18801.09427915],[ 9695.26681156]
[ 90876.15251052],[-8456.85035093],[ 13760.93472869]
[ 74995.58139755],[-57150.55202906],[ 92790.98312902]
[ 9463.85310955],[ 39561.71754224],[-17561.51998427]
[-87475.85290918],[-79878.10582358],[-96065.81075337]
[ 24621.90789814],[-57223.27092208],[-44610.07895676]
[-51936.37953425],[-38137.21974686],[ 57423.16217349]
[ 71846.52975416],[-13841.95796208],[ 77011.58841025]
[ 34321.73793226],[-53394.72529569],[-93445.82263927]
[ 82082.4737256],[ 52000.09732323],[-51348.50178349]
[-2919.48518621],[ 24844.61045576],[-1511.88536144]
[ 22654.37674428],[-19588.91648339],[-45162.24762571]
[-1882.20626],[-13178.26433483],[ 38923.84864769]
[-81134.16382203],[-84616.91523464],[-74545.77169186]
[ 84371.45105434],[-29149.70188404],[ 25769.63410867]
[-18722.39841139],[ 94290.94532574],[ 85586.97315731]
[ 83004.69408862],[ 13710.93411317],[ 25529.27534129]
[ 75514.53867384],[ 13873.63247015],[-26024.47674088]
[-56445.38738785],[ 94846.55670205],[-37953.85257661]
[-3652.40393196],[ 52725.23969385],[-71724.91057409]
[ 35139.52384294],[ 50413.47188328],[ 46529.95773542]
[-96373.20032216],[ 30911.66322081],[-31597.77307528]
[-59486.18050529],[ 56493.4345052],[ 35704.34556718]
[ 21649.18637965],[ 60462.51340114],[ 64440.23528324]
[ 73376.02052778],[ 91281.93281084],[ 71460.18859745]
[ 73821.85739429],[-52120.72959444],[ 84410.21839918]
[-28295.64666281],[-19206.98296411],[-51943.2447653]
[-15927.88494595],[ 71572.07582063],[-77135.22923508]
[ 35870.53610335],[-67227.90573514],[ 38553.79708798]
[ 92682.33206683],[ 4681.38777763],[-58365.5496073]
[-3846.24654834],[-60041.46120499],[-66203.0979258]
[ 58457.69400687],[-39423.67960054],[ 67130.12958954]
[ 92619.7674886],[-10509.66909643],[-72053.12254862]
[-74779.98807021],[-19957.08489358],[ 27604.49749014]
[-13065.09394085],[ 47179.74857088],[ 49432.48928941]
[-80101.49543435],[ 18861.75672567],[-34188.94833439]
[ 63632.6711365],[-76464.33499555],[-41276.95290098]
[-85925.207958],[ 82094.55625673],[ 6294.95363811]
[ 58597.40299244],[-1539.93156113],[ 43953.30025519]
[ 40891.92275015],[ 24768.19258803],[-57142.87085708]
[ 63172.20322266],[-98553.80937344],[-14693.14672364]
[ 96316.85831143],[-47490.33933077],[ 60582.86093991]
[ 31380.33359994],[ 15190.49656053],[ 42854.79347461]
[ 59770.82569726],[ 54573.88840027],[ 2998.94784874]
[-57427.17356769],[ 13030.10901384],[ 94172.00465187]
[-27588.7746611],[-60214.2340542],[ 30331.84573511]
[-4207.41363962],[ 53183.68689363],[-67705.68579142]
[ 65101.75820242],[ 81863.91179577],[-40120.19682616]
[ 22821.46808231],[ 64420.33343051],[-1682.06942201]
[-34312.43309407],[-55635.26954494],[ 94324.8865631]
[-46489.19789044],[-40051.11422081],[-80895.38993174]
[ 19966.27698907],[-65852.83811616],[ 21722.56234572]
[-92292.63020525],[ 33619.32376053],[ 78964.63933896]
[ 5759.70351323],[ 63758.39819136],[-97277.37839588]
[ 79691.88999396],[ 96400.85268658],[ 76632.07584212]
[-68879.03392775],[-36079.93095756],[ 11568.92265366]
[-71775.76877555],[ 17098.30751513],[ 90130.80252217]
[ 23916.04587636],[ 51638.28458099],[-425.88499976]
[ 49258.42801138],[-14210.85896053],[ 70258.08744146]
[-51273.43253928],[-35420.67689279],[ 79708.61630827]
[-61440.61847422],[-58520.3686886],[ 84989.81974078]
[-81452.72043011],[-89655.83604188],[ 64916.50429219]
[ 30330.39940296],[ 98604.65439026],[ 85237.76933729]
[ 24416.19019564],[-29327.88538632],[-56919.41311436]
[ 23072.19282887],[-10066.75809808],[ 95752.91186208]
[-45588.79621261],[-46606.78054905],[-24279.44095872]
[ 46230.34355762],[-43004.5322042],[-30357.03240402]
[-67725.79063944],[ 15769.61506959],[-50988.05412195]
[-60013.60072305],[ 73524.30688266],[ 5228.37597213]
[-51776.69624621],[ 68045.68796498],[ 26340.71630451]
[ 76137.65031529],[ 2837.64463972],[-63802.58623774]
[ 89534.95546864],[ 859.16418875],[-47181.1932017]
[ 36923.65357896],[-32935.36069291],[ 39528.58628782]
[ 11463.55778987],[-92724.30995658],[ 97085.86113879]
[ 25758.07351774],[ 33184.66331846],[-39542.33591944]
[-70745.65472639],[-49151.50168266],[ 55041.73062464]
[-37580.97824017],[-3498.45730701],[-32430.59591998]
[ 86732.22491256],[ 82402.56828613],[ 90700.57544041]
[-1392.10449482],[-35114.95648301],[-35101.24546]
[ 19279.55513709],[ 67115.13064304],[ 33927.7903531]
[ 89362.2109763],[-31601.18482809],[-74551.82913612]
[ 31115.42556072],[ 77217.46728997],[ 52971.13506091]
[-59740.01005669],[ 40879.30283832],[-85567.22422179]
[ 89419.44531494],[ 82989.56601432],[ 77757.78986748]
[-94651.26494741],[ 23485.16945992],[ 10847.55417495]
[-97212.15190731],[-29047.4990464],[ 8865.53327823]
[-87675.00157251],[ 9819.58452561],[-79030.09029741]
[ 94994.64909845],[ 18802.42445465],[-92871.35966106]
[ 76748.05524147],[-86106.45552132],[-72646.31867589]
[ 7842.43411283],[-26818.33391094],[-2942.58596666]
[ 87338.36514481],[ 4224.27407225],[-3858.28894631]
[ 35364.70252118],[ 71789.83693779],[ 75025.79435859]
[ 25976.82740728],[-5956.63910068],[ 93430.06291758]
[-38022.34629322],[ 80503.17831557],[ 19622.66280233]
[ 72012.34901017],[ 6080.37310991],[-7692.65645826]
[-18611.87253999],[ 25939.8471916],[-89690.06168872]
[ 22116.63970088],[-56962.41036012],[ 89475.27056034]
[-20684.37005095],[-164.25073372],[-60048.22143609]
[-59434.79247672],[-65583.45698328],[-32796.69107011]
[-33104.34070926],[ 94496.09178869],[ 52466.40080872]
[ 86365.63726077],[-68967.11843392],[-62248.28699793]
[ 68735.59191327],[ 50464.4286391],[-795.98050904]
[-92826.06650162],[ 38046.75596082],[-76441.02689684]
[-56657.88277542],[ 2436.13602552],[ 78583.77077887]
[ 81106.95888162],[-79735.55622587],[-37473.9482335]
[-26931.2266319],[-71014.63575644],[-88020.79898402]
[-37921.04292823],[-59324.77446375],[-22227.50192236]
[ 57315.15723998],[ 68121.07828961],[ 85337.76126319]
[-25816.01452169],[-68330.26586287],[-33976.06476274]
[ 49739.56976087],[ 21196.23009895],[ 231.79996235]
[ 62081.09122364],[ 9693.74326729],[-38051.01774503]
[-26814.06802507],[ 75681.47617502],[ 14740.09449043]
[ 50948.40906138],[ 14647.1503982],[-18586.81181688]
[-22785.96089978],[-22780.56827521],[ 43301.13937958]
[-51282.40802731],[ 4204.80442431],[ 19116.62930714]
[-44630.09273586],[-7997.78689486],[ 81726.04413604]
[ 44951.69225089],[-40361.74455813],[ 72308.42464744]
[-33117.51801891],[-47487.83624737],[-94527.12760734]
[ 8906.28237811],[ 10999.62784187],[-10897.05917225]
[-32969.32934047],[-88215.72817701],[ 74614.6172932]
[ 79300.79335085],[-64362.27530096],[-58606.12104248]
[ 692.08254145],[ 32229.01169966],[ 3319.66183439]
[-44768.14976697],[-38856.84268694],[-59395.19305471]
[ 32325.85947761],[ 26324.32468321],[ 45525.22620039]
[ 71698.13394188],[ 46889.61863034],[-88541.50795664]
[ 53013.41709465],[ 58189.97323533],[-44335.03539128]
[ 20004.63662781],[ 93298.60359542],[-33954.66349836]
[-82546.02901068],[ 58632.24780567],[ 2981.9919337]
[-67796.45603982],[ 16312.03111395],[-41905.89822038]
[-74151.27974528],[ 97642.02133818],[ 52209.29594238]
[ 5718.74742135],[-65773.69451464],[ 51965.26345189]
[ 12573.12087378],[ 12181.45090235],[ 58673.34322878]
[-47402.41024523],[-67575.16979317],[-20297.43275569]
[-83410.91756722],[-43230.5087734],[ 52655.64278258]
[ 45037.20336423],[ 17582.95551956],[ 85737.82616445]
[-90281.83345598],[ 5156.29604384],[ 38625.24829014]
[ 33960.93851702],[ 66361.88576208],[-69385.02262093]
[-13893.88069054],[-77333.11920641],[ 8269.98636433]
[ 94959.70009292],[ 1065.64187753],[ 35439.51465995]
[ 31092.66301942],[-29573.02086239],[ 42906.9207911]
[-22507.70391249],[ 60421.20249198],[ 14542.27881567]
[ 34021.1630821],[-77914.91499057],[-24443.73198384]
[ 81144.36864009],[-11343.05996907],[ 84978.01882154]
[ 25047.27046829],[ 16152.48977898],[ 13048.25636775]
[ 99874.03058772],[-60455.4485579],[-65693.75786433]
[-53949.94957141],[ 20586.03450555],[-68447.18032246]
[-4830.98863505],[ 90696.13694141],[-43719.07359465]
[-97094.42372598],[ 75568.04032351],[ 49276.87057762]
[-29406.87064351],[ 78679.93915709],[ 35040.66231283]
[-26894.25330092],[ 87667.44876772],[ 88377.70822316]
[ 9219.63356235],[-82602.46825228],[ 9685.20109092]
[-64457.95302153],[-57326.36768677],[ 8572.79129894]
[ 29742.34125134],[-71681.72252431],[ 90556.86172385]
[-45310.62929179],[ 34468.77276385],[ 25554.61234567]
[-68154.01972325],[-68155.94388842],[-5923.38653614]
[-88148.1035367],[ 64562.05476425],[-29965.80267957]
[ 70478.66126414],[ 91349.08523206],[ 5953.94544887]
[-90717.99582448],[-78967.49340453],[ 78496.29211791]
[-53631.26291105],[ 37043.35787709],[-73240.76368644]
[ 18956.12000821],[-33529.16271681],[ 10070.40804727]
[ 23420.76166186],[ 56611.6744262],[ 66771.70416129]
[ 90629.12723311],[-96275.21930163],[-41548.862615]
[-9248.39713686],[ 48194.61615828],[-38292.76164491]
[ 33361.18749472],[-39441.3946819],[-89659.12443025]
[-61559.2421467],[-53195.02042607],[-16551.74941287]
[-17354.5554443],[-47392.94302025],[ 14127.69327712]
[-97392.91368101],[-4794.00269857],[ 88705.27020542]
[ 75000.63876484],[ 95288.67433736],[-17529.71029942]
[ 71745.50230763],[-18845.02521509],[ 83973.52736519]
[ 22724.3058093],[-41486.09889509],[ 81645.84099707]
[-80053.99736246],[ 4062.77965286],[ 88953.47060751]
[-38987.39275179],[-36643.70695513],[-46803.50816137]
[-17888.26879075],[-44339.83783255],[-47934.19969761]
[ 16290.27656363],[ 58156.13888764],[-6965.2082843]
[ 91186.74777294],[ 75550.0616908],[-72204.06324712]
[ 22128.63171623],[-9849.47291398],[-73852.88711118]
[-86182.75848659],[-46594.00324361],[-3479.524947]
[-32702.18225801],[ 62960.33936315],[-94352.18765079]
[-93511.50094024],[ 85990.75620595],[ 37041.33331242]
[-63595.1673504],[-98807.9868941],[ 55284.51117713]
[ 45744.37669886],[ 40334.16460191],[-11728.65050014]
[ 10214.89054366],[-92854.86104412],[-37684.08361042]
[-89399.12432128],[-93478.81112628],[-23077.96586724]
[-46035.49765194],[ 9726.85696491],[ 4340.85962867]
[-28650.57594233],[ 17.06518684],[-65963.64099054]
[-88457.31995488],[ 92321.32335515],[-72257.45321361]
[ 23710.18286098],[ 65037.02839613],[ 11511.97159443]
[-67199.28852843],[-72825.02828883],[ 47553.79605269]
[-76493.73371535],[ 17564.18495581],[-66612.90992005]
[ 21514.43152425],[ 51627.37358247],[ 30854.04595862]
[ 61772.47850661],[-97269.49626687],[ 34587.75130221]
[ 61322.94689192],[-86262.71932514],[-79576.77562968]
[ 85510.93742792],[-17470.30047119],[-58307.49897851]
[-85422.65482227],[-31010.34792624],[ 44635.23341676]
[-39636.73389882],[-89851.93555305],[ 60071.00916457]
[-53966.2253913],[-20277.49406325],[-3996.91752977]
[ 10446.59267075],[-63113.91544448],[-55311.01987269]
[-26638.25389995],[ 83780.3623789],[ 58362.15777703]
[ 32933.67521004],[ 78423.52670537],[ 64746.71134255]
[ 89642.15880209],[ 42191.34017103],[ 88614.43145995]
[ 10306.51782612],[ 38084.90318806],[-15229.65088492]
[-37087.2346552],[-54911.45204027],[-67884.7725449]
[-79957.22122367],[-27907.95990793],[ 32178.74546627]
[-44097.95313801],[-98079.32142167],[ 69410.02420042]
[-1626.34274773],[-5519.18709806],[ 25555.11936004]
[ 52244.43623209],[-59977.79214707],[ 47159.3528518]
[-45844.30041445],[ 9129.75306864],[-89313.92964739]
[ 76293.67954088],[-61073.88594767],[-75146.29124913]
[ 1022.26076751],[-52921.55982653],[-78797.48330875]
[ 44038.75074026],[-88999.61735264],[ 34948.76561854]
[ 54237.31485916],[ 61302.73760402],[ 52327.04544001]
[-36190.18566781],[-25874.25926216],[-35013.00920418]
[-16112.60223227],[ 51409.77186314],[ 18235.89961473]
[-5074.17580134],[ 15851.12244723],[-1147.31249944]
[ 1464.73304015],[ 66435.19814891],[-71584.92176164]
[-56130.19828781],[-18077.78728224],[-92422.35850191]
[ 80332.06497897],[-38684.05563688],[-73394.11164101]
[ 90517.70670075],[-5747.68526745],[-17617.32636254]
[-53843.84040591],[-26796.76046142],[-40375.24260598]
[-10304.5367784],[ 98265.53371279],[-85751.05198043]
[-14760.55521199],[ 45014.00369795],[ 61972.72507631]
[ 83777.24747305],[ 47439.36237123],[ 20733.67563014]
[ 69233.42679312],[-64674.89252939],[ 10683.60437961]
[-53611.04008496],[ 9643.61194774],[-49334.22223147]
[-33551.25850928],[-51761.11087628],[ 25806.94444381]
[-56166.25993512],[-21447.34507438],[-23323.79587304]
[-98080.97848664],[-53679.8601181],[-64195.70665999]
[ 46020.3752076],[-71105.74653576],[-77142.44749131]
[ 34808.90482679],[-73134.60990393],[-7936.02233467]
[ 51495.16833906],[ 66126.61774979],[-57210.99005054]
[-77585.08269993],[-52997.52243727],[-40664.96989457]
[ 98348.91915431],[ 38662.43138272],[-65076.60543151]
[-44272.27239342],[ 77606.87082635],[-88343.07678348]
[-47638.53165678],[ 50212.3501508],[-45205.44042291]
[ 36940.73374325],[-8281.14430456],[-53774.7003008]
[ 81599.42435572],[-69972.21280769],[-19779.33478111]
[-44184.29694866],[-55963.85882912],[-44878.15987589]
[-78936.98380382],[ 50786.79527793],[-16394.60235064]
[-67930.34896683],[-70332.2467878],[-85280.49559966]
[-48589.39177668],[-38572.89684327],[-80811.33042533]
[ 43900.39336104],[ 5064.8296504],[-95370.79114774]
[ 43307.38052966],[ 9414.9058677],[ 31490.2176483]
[-72650.17591264],[ 88171.40192624],[-27854.85333545]
[-62202.39025194],[-44550.36780193],[-42205.65316195]
[ 32975.42871853],[ 19396.23835246],[ 31736.35129937]
[-50069.13100924],[-44490.81750355],[-19294.6907763]
[-7270.36986496],[-53391.13154021],[-69910.87272704]
[ 66807.05066625],[ 37723.58542979],[-58862.70455733]
[ 3780.01852391],[ 73970.4913389],[-16930.39799846]
[ 81226.71599568],[ 80358.9868688],[ 80939.81329208]
[-9100.39842495],[-88448.00651908],[-854.97497796]
[-82720.25798747],[-78235.19455041],[-55392.68982926]
[ 30079.74718063],[ 69940.48176585],[ 17694.90046797]
[-78006.76435228],[-41509.70102595],[-42786.97911263]
[-39430.50025471],[ 39670.42343515],[ 95142.11896719]
[-82597.81721236],[-67181.93758073],[-94138.94487457]
[-74530.30919034],[-51294.94189747],[ 93412.08040973]
[-19578.05777806],[-48801.62572807],[ 28904.19693592]
[ 33138.53074473],[ 15369.3724752],[ 13521.52795977]
[-20859.66761694],[-17755.14226691],[-35879.68095799]
[ 526.68429038],[ 51026.64498631],[ 72053.92878893]
[-37685.8169764],[ 53729.46528075],[ 11366.03931058]
[-47170.5905009],[-22483.00998487],[ 65039.07103131]
[-91069.91541049],[-7115.93280538],[-88801.02001433]
[-88443.98495427],[-97796.08956213],[ 13351.09256524]
[ 48580.40266319],[-6344.8842297],[-18685.9857724]
[ 74904.1009675],[ 91266.19461372],[-63276.52158077]
[-28054.89930936],[ 93151.82991143],[-10047.60155256]
[ 16225.42640763],[ 74621.57959166],[-35328.65456767]
[-69092.27006713],[-26345.56031684],[-89988.21320813]
[ 5603.76299223],[-26320.25364418],[ 85101.75822618]
[ 39295.1485827],[-81750.90621803],[ 66702.63824494]
[ 8383.15485162],[ 2339.72405359],[ 44704.38685129]
[ 48898.11862853],[ 38033.57665182],[ 42636.04614386]
[ 47201.23657064],[ 12291.64030565],[ 43388.16607563]
[-97412.72678908],[ 16944.78500802],[ 35953.08612316]
[-45992.74064483],[ 60664.57798262],[ 14410.70972843]
[-84527.09548339],[ 87275.92116246],[ 94319.32758573]
