[ 64752.83540698],[ 82848.72287671],[ 83090.59372433]
[ 56884.07930846],[ 13843.17365975],[-24172.86588381]
[ 70227.89716147],[ 20917.75609365],[-82645.393095]
[-79937.67189437],[-24122.38241527],[ 78295.17260276]
[ 33191.03097432],[ 99994.80991001],[ 1495.49296933]
[-29607.57688923],[-56392.43909298],[-25801.16158916]
[-45612.0205989],[ 36045.64002767],[-61414.81957803]
[-32403.88004913],[-25910.59815015],[ 95714.2732189]
[-80954.68540502],[ 4711.89683001],[ 38698.89676063]
[ 62613.39358517],[ 92276.00239266],[-32933.61531669]
[ 51725.18071343],[ 81864.65834152],[ 14740.87442697]
[-44063.42391255],[ 66017.12639619],[-2439.96479691]
[-65820.06834004],[ 51740.94463535],[-50392.64119495]
[ 32078.75851204],[ 81300.95909808],[-5224.22697821]
[-84215.6474643],[-7679.42989113],[-71656.76371253]
[-70852.86481519],[-27476.25996427],[-37208.89518521]
[-17898.83437866],[ 52609.18859609],[-48934.36955824]
[ 50494.89413049],[-95775.70152453],[ 64843.57902873]
[-75176.33227382],[-31217.12376547],[-30407.70664857]
[-99690.05356823],[-38832.10561651],[-36336.66445712]
[ 75275.22950159],[ 58104.87321821],[ 82941.87268896]
[ 98589.57964014],[-51262.0312866],[-87407.87134063]
[ 57168.31961867],[-40492.3464402],[-38501.22634184]
[-33244.9059369],[-98589.33670983],[-98971.92030629]
[ 77272.70556145],[-51819.98194782],[ 16427.48372974]
[ 85563.90547293],[-92461.55172447],[-23101.40524742]
[ 62256.97317143],[ 27603.98840678],[-96681.54267848]
[-11776.81745191],[-9423.80284165],[-32716.40341313]
[ 48131.89030885],[ 69242.32746362],[ 9444.02553142]
[-86276.18116026],[ 44799.44344648],[ 40473.02585833]
[-54734.99704806],[ 82361.34453597],[ 13472.7380829]
[ 39384.67205247],[-55922.12001701],[ 96405.94957605]
[ 83357.48658717],[-55812.92106932],[-77767.06082581]
[ 56958.67456518],[ 95041.57693319],[ 87073.74116712]
[ 18949.63054604],[-1961.08330125],[ 45897.74631145]
[-14709.859172],[ 91332.17617457],[-93865.28907928]
[ 90945.09553838],[ 91091.26728733],[ 19163.55760167]
[ 62355.91914624],[ 11457.4751511],[ 60657.96435657]
[ 24343.32816456],[ 36901.64950659],[-67742.69193707]
[-33400.25317198],[ 77134.25093915],[ 11866.37158906]
[-28788.17759898],[-72914.81766576],[-52956.18123887]
[-15261.44508263],[ 14882.16258592],[-29296.32661568]
[-57632.75665903],[-97735.77023381],[ 73611.58417204]
[ 17454.13938571],[-55788.0154185],[ 91606.86395752]
[ 975.8708352],[ 75792.55125229],[ 73260.84814381]
[-42493.39816886],[ 30023.07504973],[-60528.50777039]
[ 77935.81023789],[ 40071.62805533],[ 79436.48474729]
[-58044.21607364],[ 85538.0520338],[ 73271.72470409]
[ 58222.14978575],[ 15078.43845114],[-8658.34776664]
[ 91208.32550883],[-98099.8994236],[-63395.76097791]
[ 86301.07105154],[ 99737.35796642],[-69586.10889544]
[ 68616.13750973],[ 55264.57384806],[-9676.22629369]
[ 71056.91234654],[-66911.97006742],[-97242.45287587]
[-58912.27910691],[ 47793.21650386],[-30227.13056488]
[ 58296.22387475],[ 50977.66828512],[ 61935.32159965]
[-69389.90397611],[-90434.11188072],[-50531.67375944]
[-1435.3732828],[-19876.46403978],[-33860.4257982]
[-98007.63327495],[-8204.67309604],[ 45641.76330562]
[ 58584.83829301],[-25386.59525971],[-5088.50583969]
[-49824.58298379],[ 69974.60532959],[ 33064.76315748]
[ 71609.25677422],[-38215.56149691],[ 54297.59062215]
[ 26848.6248452],[-96364.04801971],[ 55000.74767507]
[-76972.78225523],[ 79955.64255309],[ 53631.09334273]
[-4451.28791148],[ 91714.07874371],[-83672.92917757]
[-61216.49929725],[-33640.56346716],[-6372.63216402]
[-29553.263949],[ 73435.0171939],[-88027.69442172]
[ 40962.10743682],[-82249.63307725],[-57345.4631494]
[ 76753.34046453],[ 96741.32984974],[ 15402.02065596]
[ 22452.95020801],[-85270.73083799],[ 82600.43981357]
[-80778.41281695],[ 93235.35311719],[-58517.95580125]
[-4962.19033754],[-74727.15633769],[ 74702.94945125]
[-36051.53590177],[-30152.05803283],[-27267.51770043]
[-62567.14327396],[ 45627.54566721],[-91970.7012036]
[ 34303.06696727],[-16665.65506004],[ 99381.83874828]
[ 48477.5921974],[-44533.97402965],[-58116.79937203]
[ 701.4527394],[-65675.63024097],[-5210.2236061]
[ 47387.15756817],[-62393.83171482],[ 36361.48559064]
[-47227.36209575],[ 56918.57416271],[-48336.97304372]
[ 40547.65248205],[ 70819.61395265],[ 4052.84525709]
[-82107.48728412],[-79075.01646982],[-77624.04734688]
[-68571.83037261],[ 35763.52638602],[-2180.23763121]
[-45505.61675117],[-94396.72919189],[ 85530.37251324]
[ 87059.51679103],[-78406.68534602],[ 18437.63838294]
[ 36503.23018432],[ 12794.06410925],[ 86063.55611512]
[ 10339.73264049],[ 90367.35538947],[-15642.1234512]
[ 45358.61649059],[-52340.82141554],[ 94545.56495991]
[-19374.71830469],[-27087.34776609],[ 20862.87627008]
[-98809.86374358],[-35256.06785864],[ 83117.06876659]
[-92076.98921746],[ 49450.80150293],[ 96641.25994555]
[ 73818.55106177],[-99925.9311421],[ 82427.5244378]
[ 71580.08033881],[-94621.36918782],[-79644.35102003]
[ 99196.72607765],[-74331.31757543],[-34096.10943718]
[ 20931.83527412],[ 89301.09885153],[-87854.02508316]
[-37794.6865833],[-92600.66064783],[-81553.26207587]
[ 53447.17715212],[ 34392.17143386],[ 44324.05037971]
[ 67410.6415053],[ 7052.15847285],[-64139.8759626]
[-46402.37986389],[-60492.03337452],[-55764.2498036]
[ 16592.30056357],[ 81351.68296273],[-1672.40757245]
[-20630.0586255],[-94732.59060576],[ 70226.46169208]
[-92200.62999081],[ 8354.80635974],[-27961.06852913]
[ 35453.80632775],[-46822.0272995],[ 98764.03139185]
[ 98185.26770035],[-87409.45837451],[ 90794.03100649]
[ 36388.09272608],[-31455.49229962],[ 22827.15434396]
[ 1637.8026312],[ 36931.87257046],[ 3375.45880622]
[ 6506.0644284],[ 72661.84061297],[ 31585.8218589]
[ 82026.01153675],[-48087.32814906],[-80255.4392833]
[-75566.09042243],[-53339.02565389],[-88762.79703207]
[-53591.60876046],[ 53125.57065924],[ 40751.49876763]
[ 90013.0591946],[-70367.38869643],[ 1920.89804988]
[-39056.05718253],[ 24444.77909774],[-74432.43374012]
[-34318.2609266],[ 86240.06962094],[-15243.22521286]
[ 83407.8939759],[ 49417.92211723],[ 32703.51410519]
[ 74405.19918649],[ 6585.90808253],[-32534.20960821]
[-99822.84666436],[ 67954.91039223],[ 89100.94885384]
[-57171.57134147],[-33634.48050988],[ 64837.51577835]
[ 68205.75066652],[ 11288.29804361],[-73113.59909268]
[-75591.92835424],[-38706.55339822],[-88180.77190026]
[ 88239.59618839],[-40230.97219744],[ 24293.7801643]
[-16893.4973699],[-18814.88775831],[-62820.17309586]
[-9873.57710799],[-15206.75071431],[ 33028.79566001]
[-90151.59412694],[-19370.74480552],[ 71164.49425232]
[-38718.30976019],[-28212.41209781],[-74713.80869732]
[ 57456.00554855],[ 18492.60492905],[-3156.36792566]
[ 65092.02442764],[ 86320.56475139],[ 985.17632748]
[-94555.72951012],[ 45888.45181405],[-99739.42648861]
[-6284.45126801],[ 59298.72553959],[-83731.04409955]
[-13527.00303452],[-2724.92798794],[ 334.87255182]
[ 57385.89194591],[ 42713.41433972],[ 86840.04426663]
[ 18889.25083377],[-4725.03395381],[-35067.77019316]
[ 39197.42018638],[ 77217.96333449],[ 76560.52800502]
[-66573.88177227],[-90589.34025366],[-98971.09848341]
[-35624.44380049],[ 54051.22698776],[ 83750.98614412]
[-92747.89070341],[ 8142.63374646],[-51435.40302584]
[ 89884.21356553],[ 89504.76919838],[ 21171.2584379]
[ 64128.93400583],[-98885.02725227],[ 5098.45102501]
[-86338.59233047],[ 4999.60416429],[-75261.38656395]
[-40882.99724443],[ 62311.51002085],[ 46716.40003489]
[-13751.00978143],[ 29466.73893653],[ 20984.10085315]
[-47206.25262482],[-19814.28514758],[ 31600.13366363]
[-17475.55666359],[-51442.36126952],[ 24756.9988031]
[ 8184.5969162],[-11811.15793431],[ 24413.889121]
[-47078.40752948],[-48666.71964016],[ 68187.81437375]
[ 45909.61701085],[-59496.24676899],[ 51341.51627715]
[-38559.95717544],[-555.94338574],[-77025.70133573]
[-65749.05386473],[ 63136.30654088],[ 62382.17934174]
[-37227.7498391],[-37311.30012461],[-10031.72122143]
[-90971.86203503],[-55492.89446541],[ 59441.28442423]
[ 55454.89297864],[-24948.2383636],[-95004.50599875]
[ 57002.44914497],[-79118.58547496],[ 7099.97944978]
[ 4343.00351391],[-93540.44314776],[-99775.31278684]
[ 79718.34121311],[ 90955.2427344],[-7168.76779913]
[-28373.07605121],[ 60657.58416599],[ 84469.74638427]
[-68535.93378815],[ 29886.69731797],[-97661.86869872]
[ 60746.89880708],[ 19786.53473136],[-51770.0586909]
[-64816.53355699],[-98327.98526793],[ 34943.62300176]
[ 20893.79721378],[-4028.63225241],[-77639.6422145]
[ 36322.29183195],[ 33909.28035933],[ 34712.52177806]
[ 35497.89141913],[ 65918.18052904],[-51354.18136046]
[ 77617.34863586],[-2626.97079164],[ 97104.38011863]
[ 51338.21317672],[ 62657.86546798],[ 17579.30536526]
[-13641.17141497],[-14860.4328822],[ 54960.95830415]
[ 69677.13882606],[ 80903.56204931],[ 80232.25097171]
[ 73364.45918891],[-94365.16513596],[ 94377.4362187]
[ 70453.68589375],[ 27167.83320889],[ 36939.88699344]
[ 25441.57101877],[ 2141.08078536],[ 37612.8016092]
[-90005.69660597],[ 39756.47985693],[-43649.51833014]
[-92721.09319573],[ 19064.14750919],[ 27745.21573596]
[-67449.50909074],[ 68851.27315998],[-64878.9179646]
[-77593.15420675],[ 24928.50663984],[-94258.67732685]
[-93399.2433119],[-24050.66809198],[ 24020.35248664]
[-97004.8052203],[-70690.50447887],[ 35028.87177764]
[-40348.83363328],[ 79243.03833745],[-98145.39935831]
[ 77036.09466028],[ 20190.2514122],[-5484.91806712]
[-19580.34708474],[-92234.86490933],[ 29902.92070689]
[ 96475.6877194],[ 99929.41220591],[-87116.47693928]
[-32499.97067258],[-6666.94953804],[-50622.67826732]
[ 99226.84809013],[ 10547.73419939],[-76435.4433474]
[ 58588.58327179],[ 26090.20329351],[ 51088.51124697]
[ 82411.91586949],[-85274.47792501],[-45064.06748498]
[-39431.50836617],[-30125.67519207],[ 96185.7807589]
[-47283.76980618],[-79654.08262574],[ 74013.96534812]
[-27337.93575778],[ 35305.75132394],[-5953.07263791]
[-11284.84194505],[ 77819.19127626],[ 27128.08830081]
[ 61862.87856611],[-22041.31829374],[-64736.54265321]
[ 84560.54850473],[-13854.8219767],[-7000.46278864]
[-61907.82770129],[-27205.93327435],[ 18287.76103746]
[ 32094.95089235],[ 79538.48993571],[-25113.43096437]
[ 89559.68584027],[ 52635.98484814],[ 72937.78459887]
[ 67185.00484857],[ 44218.01922238],[ 80869.10041728]
[-20234.48038022],[-98793.26545762],[ 31808.2939225]
[ 10460.69354591],[-84981.68664927],[ 55389.81599729]
[-50281.27114677],[ 55028.09426738],[-70957.70298605]
[-72556.12504342],[ 84919.17694873],[ 8345.20139839]
[-10595.44709651],[-31571.34583315],[ 34724.55539713]
[-31400.8497847],[-67863.88940417],[-93210.09706988]
[-78907.6161143],[-78862.51276676],[-99444.2422436]
[-58712.29169973],[ 55102.90509567],[ 48296.40089178]
[ 52937.53619963],[-57806.97878456],[ 59595.32847956]
[ 35270.65565539],[ 1700.10151027],[ 4556.12708095]
[ 61839.79283774],[-78907.59875612],[-79329.55360531]
[-69347.65236619],[-20080.25339733],[-37116.82397417]
[-65478.99392502],[-45276.26478193],[ 73212.68195243]
[ 56193.02734473],[-86083.44530828],[ 50270.28526114]
[ 42726.93664677],[-63726.71866334],[-68273.70841713]
[ 90599.13681648],[ 78836.500291],[ 25333.00312602]
[-7802.89721231],[-96902.77656613],[ 17987.72281322]
[-36443.00060337],[ 53524.27749418],[-50496.74223725]
[ 963.72676043],[ 62838.43512373],[ 17823.16568517]
[ 4624.07776156],[ 21090.40023299],[ 46094.02992903]
[-67689.03000098],[-85850.49309642],[-69066.74607177]
[ 72477.06371931],[ 78996.14215541],[-3419.24017295]
[ 50847.2286531],[-88915.42689458],[-85449.24198274]
[-59510.46428805],[-85564.61380519],[-19303.22898103]
[ 30862.56452345],[-49951.08960263],[-80810.36500084]
[-68502.6306348],[-93810.28096908],[-80712.65600903]
[ 64740.93129355],[-16602.49346373],[ 23558.06109288]
[-81523.32739338],[ 13039.73043812],[ 25349.73323475]
[-96646.88439027],[ 87838.92487773],[-70143.52692664]
[-96077.3277666],[-12116.35222756],[-73310.32125626]
[ 65482.27188557],[-87146.24557031],[ 30731.7279721]
[ 10271.52275744],[ 79847.41329638],[-44081.53278884]
[ 91953.06448401],[-26646.97418807],[ 10849.90748353]
[ 21455.53418106],[-79557.28027587],[ 39541.93143382]
[ 51801.21561854],[ 55138.22092417],[-13191.10038844]
[-39032.14143352],[-56227.13977963],[-1522.29470379]
[ 34672.58676115],[-47238.7462651],[ 92784.93920302]
[ 2542.26350768],[-49286.66608671],[ 32857.16997836]
[ 59479.13251133],[ 8894.26088267],[-97162.67599469]
[ 53659.75968789],[-34704.6444575],[-37604.76228973]
[ 45525.1773789],[-15868.03553465],[ 92574.6075407]
[-75175.55072438],[-5534.3901199],[ 50393.1039432]
[-86479.79188947],[ 9095.32755938],[ 41365.11557117]
[ 34421.92084916],[ 46886.11368293],[ 32391.22191046]
[-11559.205789],[ 53916.43049117],[ 45020.53481658]
[ 93235.82705539],[ 73187.61351379],[ 40229.41025118]
[-1630.20538859],[-14581.34706169],[-83564.48845519]
[-10985.90781058],[-1196.80483207],[-38808.07613407]
[ 73521.88141672],[-9477.63531227],[-97093.28832082]
[ 85248.25186214],[-66159.36147916],[ 711.64819102]
[ 14824.01821743],[-68272.07352348],[ 18843.42940323]
[ 84545.41238602],[-27251.5144199],[-40285.14972415]
[ 37061.38398504],[-70374.01602154],[ 71616.44054763]
[-10879.94065838],[-30690.49430212],[-45272.01784891]
[-19220.3863901],[ 39610.74916406],[ 63900.98203051]
[-36064.98374117],[-82852.26827379],[ 67592.54400758]
[-57217.85418808],[ 4162.45153207],[ 66685.63468897]
[ 34291.73477057],[-78877.78576274],[ 68990.26033809]
[ 13778.69196553],[ 81117.76284248],[-55736.80315421]
[ 87872.86939311],[ 98440.09813159],[ 40614.17249242]
[ 48260.82678662],[ 11229.86517175],[-36369.26281598]
[-15189.16654044],[-54586.51211717],[ 72367.72094763]
[ 69455.81757234],[ 89463.25143079],[ 59864.1495889]
[ 3497.64828741],[ 69511.16499085],[ 1403.19468624]
[-44873.71828414],[-44151.88488911],[ 76143.70926066]
[-47395.44636586],[ 20292.38706178],[-73556.84489267]
[ 14245.50314412],[-21919.9796019],[ 27288.86705242]
[ 13647.19229523],[-43034.21404656],[ 9475.70285443]
[ 18413.19591493],[-63233.39586277],[ 46708.08572378]
[-36028.95701133],[ 40334.04364271],[ 88109.21064483]
[ 75134.61166295],[ 4161.88504063],[ 14259.09700678]
[-94480.65231641],[ 24200.1923175],[-64437.94796158]
[ 59448.90197528],[ 19791.64564129],[-3235.98817967]
[ 59942.5825789],[ 4841.13118993],[-56136.17941748]
[-92440.86010378],[-34833.74406448],[ 17594.14940603]
[-29868.1339431],[-17689.51301747],[ 50453.51096904]
[ 23600.35492476],[-84312.27407152],[ 21617.73229571]
[ 42341.77861343],[ 90126.40793483],[-76788.55605828]
[-80413.03622781],[-15008.75347513],[-38221.06053017]
[-93941.91858689],[-95500.31838251],[-97667.88200152]
[ 63140.18527009],[ 84844.15387374],[-52627.81886153]
[-37581.14421035],[ 45270.41355824],[ 74227.38482168]
[ 24780.0069005],[ 827.0891033],[ 27683.53522537]
[-88591.9417428],[-15269.44914862],[ 15439.96826335]
[ 66920.39635629],[-88846.45519367],[ 4783.64176024]
[ 56681.44377305],[-82409.49800575],[-66142.69215451]
[ 44787.91088071],[-64341.76201907],[ 40401.59652382]
[-97341.18731814],[ 77584.83469319],[-59072.36783937]
[ 16013.64902007],[ 15603.45509492],[-51595.63428564]
[-48863.42055842],[ 96991.13582635],[-93297.10499184]
[ 6949.16994162],[ 66372.42255854],[ 33308.73799048]
[ 58380.52775525],[-5070.26859447],[ 70560.37393537]
[ 25905.74178587],[-7345.39007581],[-50282.85811495]
[-10757.55920598],[-34379.58798707],[-81476.95939193]
[ 59797.06781445],[ 34347.55495671],[ 37961.75153487]
[-71093.75213427],[-80097.14817758],[ 88200.56258344]
[-28733.84558179],[-48086.58853703],[ 58388.45860299]
[ 54323.14659709],[-72400.9660938],[-65086.10993296]
[ 28924.65698788],[ 53308.40010226],[ 19256.86350502]
[-92019.40328633],[ 39017.32743202],[ 23548.78123166]
[-50288.98799441],[-66388.08886282],[ 80310.49321326]
[-18959.75303712],[-46030.95903531],[-8613.005756]
[-68738.4155375],[-2509.0153896],[ 65595.99235323]
[ 90853.14151722],[ 30674.97646474],[ 93280.1850861]
[ 53182.19395725],[ 80930.57111584],[ 24200.84967311]
[-34689.10029446],[ 24217.37569317],[-54292.13455385]
[ 48852.0864519],[ 91507.35829378],[-8795.27877512]
[ 70048.8039234],[ 85586.77340278],[-4969.98258101]
[ 24769.72939271],[-67343.69755309],[ 49720.46730425]
[ 70570.17585936],[ 54784.44233121],[-79101.03930053]
[-46576.08158952],[-68180.28043609],[-90375.59603981]
[ 41844.2027496],[-83693.64394348],[ 4515.77015047]
[-2131.97786414],[-41647.68716678],[ 54478.8151262]
[ 2302.59861726],[ 66204.17188513],[-22315.59644096]
[-26585.02556824],[-22892.29538974],[-24642.63320236]
[-10719.31360614],[-93661.21054082],[ 573.76981212]
[ 46525.23833235],[-78936.79598365],[-91947.1521669]
[ 24900.80707453],[ 96584.4699545],[ 61005.53096571]
[ 62604.53549751],[-15344.19548302],[ 60192.0041143]
[ 27064.78456068],[ 10748.7402546],[-85067.37980036]
[-92046.46099397],[ 16595.8318352],[ 8323.94695998]
[-96475.39414849],[-22444.16991507],[ 72848.6320081]
[-67607.83836252],[-99074.31873987],[ 20093.46939807]
[-81302.10788048],[-63897.71295792],[ 34561.70424502]
[ 26015.06249441],[ 56321.80657416],[-90464.25499686]
[-70245.83473834],[ 75472.54009939],[ 83497.62914025]
[-32821.37081003],[-76744.08802641],[-45933.10502642]
[ 73502.35823894],[ 7195.89644319],[-87062.99547184]
[ 87074.40340273],[ 36778.41545074],[-26373.01619389]
[-41608.36203947],[ 26085.13641062],[ 36360.33954659]
[ 43749.36691928],[ 48990.93839026],[-19835.28292875]
[ 32481.02323035],[ 52370.57292276],[-88111.64906371]
[ 26491.84176607],[-85253.76622755],[ 89165.09375482]
[-83628.82661802],[ 59153.7442226],[-8511.00002031]
[-56173.12699932],[ 69066.67333062],[ 83404.53135428]
[-64617.84394295],[ 64050.86430558],[-27813.77833619]
[ 40141.54431712],[-15798.69132006],[-41641.56395297]
[ 13230.88260238],[-1786.11821979],[ 74449.0816488]
[-72647.06510901],[ 30630.71229385],[ 4390.17018526]
[ 75705.5587593],[-23846.5912351],[-50337.46999666]
[-82387.27840797],[-18834.7996929],[ 75923.92604114]
[ 75746.70801712],[ 55612.0012938],[ 87997.96010393]
[ 31172.97785251],[ 21133.93670932],[-53351.20171411]
[ 71345.45697597],[ 66654.15374076],[-51513.97489427]
[ 53348.91832465],[ 87516.91888828],[ 18886.91236457]
[-66279.04243756],[ 75703.20687693],[-29565.16484274]
[-60192.29210317],[-36784.14195982],[-68485.15622104]
[-96361.70192877],[ 9741.44336751],[-57810.63172005]
[ 51610.46169222],[ 55848.33203633],[-74850.24645259]
[-2836.65470598],[-31850.97679416],[-59608.98995296]
[ 45969.45533739],[-19875.12947399],[-95606.25936724]
[-50832.48838741],[-77531.62018903],[ 43807.09444651]
[-49242.37969521],[-4976.75184048],[ 14805.55654066]
[-2263.96488543],[ 95323.2667229],[ 51612.46246297]
[-80333.3035778],[ 18371.60947337],[ 50431.291583]
[-95336.66805269],[-65330.2956208],[-99331.0989374]
[ 73276.64054424],[-18504.15563342],[ 11762.07225092]
[ 2492.50496322],[-48938.43791477],[ 49629.09738096]
[ 42863.49426165],[-83195.65678429],[-32981.04867244]
[-88743.07353834],[-45530.01752438],[ 28333.27207469]
[ 23638.91610632],[ 95745.79373456],[ 22159.4296723]
[-69274.65876792],[-86960.40583614],[ 980.54420864]
[-82966.66949947],[-87071.19799905],[ 57636.32340123]
[ 85139.88698573],[ 37155.88437225],[-23989.28274656]
[ 97726.60065797],[-12001.57611629],[-93744.31940174]
[ 99876.4152524],[ 41074.18135635],[ 32042.5714524]
[ 49120.25008962],[ 1902.60319199],[ 6201.36538006]
[-22435.89444611],[ 46554.91049889],[-74689.04773448]
[ 26563.33679684],[ 13922.01269629],[ 41507.59990446]
[-11997.52299138],[-19213.51442419],[ 33167.17160601]
[-34862.18289485],[ 61880.40105637],[ 96824.2813705]
[ 86605.81434025],[ 13831.53731761],[ 42868.8669278]
[ 8499.50131544],[-15980.9161556],[ 64605.46155825]
[ 36843.38702853],[-45938.81363913],[ 79865.59241462]
[-25285.09977381],[ 80362.91679262],[-68717.78450195]
[ 63018.95248246],[ 62988.7612263],[-99322.64278859]
[-50091.02777399],[-9836.30407523],[-29437.37580555]
[-17445.44178236],[ 81795.11316901],[ 19776.06453442]
[ 70173.22768612],[ 18915.18259295],[-78198.41434001]
[ 16575.77987106],[ 57502.85040573],[-7278.41841343]
[ 39774.55874037],[-88136.94195428],[-93844.06381525]
[ 66903.67207211],[ 88566.12812997],[-8545.26714632]
[-60494.42973323],[ 32365.08608336],[-24152.23698576]
[-9351.4008835],[-26780.17721392],[ 80107.00655927]
[ 50579.10398493],[ 16018.88445073],[ 15603.09257092]
[-34614.64270353],[ 9656.09163571],[ 89036.90788655]
[-89501.68003132],[ 87849.34961504],[-56244.61773668]
[ 29864.94234386],[-38553.6218177],[ 67162.89145886]
[-63221.53756708],[-66613.60259698],[ 75817.35404011]
[ 6276.3045227],[-76360.84795474],[ 35705.13304465]
[-47283.15856413],[ 13785.23214936],[-22036.58232542]
[ 97286.18235541],[ 74565.47951541],[-54127.54455603]
[-23435.38490354],[ 68975.64451125],[-23401.86863215]
[ 87774.77982966],[-55428.12740949],[ 7817.29019734]
[-62098.29387221],[-1462.85080681],[-47835.93467246]
[ 91451.94896312],[ 45029.22199496],[ 76151.65539795]
[-411.42949343],[ 57519.45606952],[-5103.15307333]
[-49273.74898693],[-82519.67870957],[-97226.65614957]
[ 32887.87533452],[-23574.27113342],[-47001.73762938]
[ 31625.69660856],[-83346.54036128],[-26699.92699624]
[ 59525.40388062],[ 12056.74690657],[-5656.72030857]
[-84795.69324955],[ 8551.16322869],[-62683.0212585]
[-63616.50866612],[ 61165.16763835],[-21302.15192352]
[-74897.70171921],[-49102.0848232],[-87141.81666524]
[-85043.45105746],[ 51477.35446894],[ 7386.31084357]
[ 11352.42483417],[-634.58338263],[ 43715.51729212]
[-20060.17751846],[-50583.78114555],[ 29035.19554714]
[ 1544.41683557],[-67455.57250917],[ 97005.40952636]
[ 63224.74746429],[-1855.65253232],[ 69260.6611862]
[ 59342.13306364],[-44977.0465937],[-56272.26794444]
[ 15271.32849065],[-72905.18523552],[-16214.21914376]
[-67666.32095423],[ 90611.89404642],[-34422.93352889]
[-94885.99553613],[-49438.67484237],[ 79978.80721018]
[ 59700.02534547],[ 97923.59429429],[-57113.59012234]
[-72897.09287122],[-57420.58827981],[-62128.13617925]
[-43776.02837932],[-95209.88535534],[-43292.12004529]
[-76352.66707271],[-29125.50255229],[ 44715.9486342]
[-52779.23979243],[ 8460.01567441],[-48730.62457345]
[ 392.55364241],[ 52643.25831836],[ 60991.8357026]
[-14414.93169332],[-31381.43794041],[ 8460.68422342]
[ 56306.02942495],[ 6110.19135788],[ 69952.6947963]
[ 17022.17328925],[-66816.51068267],[-87915.30744341]
[-58330.25571542],[ 59145.55791028],[ 21067.32107149]
[-69472.1179039],[-84183.23206007],[ 22563.06294638]
[-43302.67679354],[ 20970.58280398],[ 34123.5180532]
[ 89667.72080935],[ 37373.60872508],[-6217.01640156]
[ 45501.04465636],[-48276.58704165],[-76198.92065771]
[-30145.17244346],[-31287.88478737],[ 1334.90690294]
[ 67395.53387029],[-31863.17271503],[-63881.93135174]
[ 90925.86875313],[ 7581.98354206],[-16539.27133192]
[ 67671.97314934],[ 73277.34277585],[ 46208.87457171]
[-41539.57069159],[-93371.80542546],[ 94405.92628747]
[ 34971.65212681],[ 18721.62723704],[-22449.95370616]
[-7412.65593185],[-82799.54523411],[-70609.27079648]
[ 15208.28527792],[-11996.63634822],[ 81290.43329159]
[ 87411.6668295],[-16388.86421902],[-89571.25537101]
[-86161.77450644],[-75463.55516452],[ 81227.01420648]
[ 73266.45148819],[-2030.30450467],[ 18802.94592889]
[-57006.67639219],[-57751.83419026],[ 63938.8856594]
[ 81134.86659803],[ 61736.66283094],[-24633.76833076]
[ 37163.86342592],[ 88376.51196874],[ 9003.21831682]
[-38721.87955766],[ 25708.27453452],[ 2631.93108581]
[-43830.93062659],[-42821.93186373],[-60076.94118372]
[-62435.30985472],[-60428.08282756],[ 82627.2682767]
[ 43934.12426304],[-37782.55787069],[-11058.35318808]
[-33586.25413602],[-49792.92491104],[ 96213.84391506]
[ 34393.9406229],[-66596.4036922],[ 99395.03607686]
[ 88725.40289306],[ 48725.85797047],[-83159.9587627]
[-87677.17824104],[-88946.32933278],[-20935.82763805]
[-26616.6469046],[ 19215.64148069],[-23426.58585105]
[-73764.72190327],[ 52109.93928921],[-89870.00113086]
[-51726.7854628],[ 616.8921786],[-81013.44119909]
[-11066.7218087],[ 62772.83209566],[ 30090.48950067]
[-36952.38132882],[-19334.67367788],[ 16505.1496125]
[-10052.66431172],[ 43977.57548408],[-85018.00571096]
[-11220.14371732],[-31048.6630652],[-46990.0527241]
[-66285.76371279],[-95785.82798592],[-29089.3920106]
[ 63903.66225699],[ 54412.136874],[ 38040.79331605]
[ 89513.11644406],[-43976.35093652],[-98834.7294424]
[ 53156.57081031],[ 68941.93820049],[ 15683.42054018]
[-35810.87790401],[ 47720.04591197],[ 15966.08176733]
[ 6780.40078189],[ 39106.45503673],[ 87784.3154135]
[ 2691.87892183],[-25943.06417249],[-37976.96267096]
[-81275.9222699],[ 36544.7522452],[-1862.95517259]
[ 80169.59790845],[-18177.58731009],[ 40930.07189125]
[-5824.99466553],[ 58836.69030584],[-48930.52272369]
[-71188.50831983],[-29310.68477698],[ 84033.87884554]
[-50028.68119033],[ 85002.64489649],[ 83741.39110433]
[ 78733.91057341],[ 74676.96646314],[ 28729.09775063]
[-3754.97834469],[-15965.66153357],[ 75199.27548445]
[-29167.02879359],[ 8446.98060529],[-17792.74425415]
[ 62741.36934229],[ 52449.52114338],[ 39472.64962423]
[-95969.56106034],[-79492.52471584],[ 95879.71927772]
[-40858.70441527],[ 53324.23574143],[-24027.11806712]
[-63336.22524514],[-55533.17482458],[-81653.68618752]
[ 23356.38662866],[-90112.12596566],[-40291.19110198]
[ 65213.34646759],[ 14374.42945365],[ 87861.81201845]
[ 14598.86024198],[-66208.76924493],[-87148.18730612]
[ 44109.83279622],[-88884.29240219],[ 10993.40078497]
[ 79718.26345321],[-98750.28625297],[ 74533.14909732]
[ 95789.01034128],[-8326.10622879],[ 12627.67846611]
[-1627.06146298],[ 38198.63633255],[ 44235.62355701]
[ 6151.40383405],[ 93263.11051963],[-61071.56786935]
[ 19582.30882191],[-94006.09586017],[ 92045.28386217]
[ 68447.05105847],[ 78522.71688624],[-69856.78275767]
